Close,Pred_Close_Tmrw,Close_Lagged_10,Close_Lagged_9,Close_Lagged_8,Close_Lagged_7,Close_Lagged_6,Close_Lagged_5,Close_Lagged_4,Close_Lagged_3,Close_Lagged_2,Close_Lagged_1,Sentiment,Sent_Lagged_10,Sent_Lagged_9,Sent_Lagged_8,Sent_Lagged_7,Sent_Lagged_6,Sent_Lagged_5,Sent_Lagged_4,Sent_Lagged_3,Sent_Lagged_2,Sent_Lagged_1,TBill_Delta_30
148.91,152.869384765625,152.87,151.6,153.83,151.03,145.91,145.31,147.41,147.92,146.71,149.4,0.4751,0.3088,0.6801,0.5418,0.3126,0.3912,0.4623,0.3021,0.5572,0.6464,0.7048,-0.26400000000000023
149.4,152.55076599121094,150.59,152.87,151.6,153.83,151.03,145.91,145.31,147.41,147.92,146.71,0.7048,0.4629,0.3088,0.6801,0.5418,0.3126,0.3912,0.4623,0.3021,0.5572,0.6464,-0.26400000000000023
146.71,151.61509704589844,148.5,150.59,152.87,151.6,153.83,151.03,145.91,145.31,147.41,147.92,0.6464,0.1717,0.4629,0.3088,0.6801,0.5418,0.3126,0.3912,0.4623,0.3021,0.5572,-0.26400000000000023
147.92,150.69483947753906,150.47,148.5,150.59,152.87,151.6,153.83,151.03,145.91,145.31,147.41,0.5572,0.5145,0.1717,0.4629,0.3088,0.6801,0.5418,0.3126,0.3912,0.4623,0.3021,-0.26400000000000023
147.41,149.5040283203125,152.59,150.47,148.5,150.59,152.87,151.6,153.83,151.03,145.91,145.31,0.3021,0.4771,0.5145,0.1717,0.4629,0.3088,0.6801,0.5418,0.3126,0.3912,0.4623,-0.26400000000000023
145.31,148.71377563476562,152.99,152.59,150.47,148.5,150.59,152.87,151.6,153.83,151.03,145.91,0.4623,0.1191,0.4771,0.5145,0.1717,0.4629,0.3088,0.6801,0.5418,0.3126,0.3912,-0.10499999999999954
145.91,147.842041015625,155.85,152.99,152.59,150.47,148.5,150.59,152.87,151.6,153.83,151.03,0.3912,0.6977,0.1191,0.4771,0.5145,0.1717,0.4629,0.3088,0.6801,0.5418,0.3126,-0.10499999999999954
151.03,147.84291076660156,155.0,155.85,152.99,152.59,150.47,148.5,150.59,152.87,151.6,153.83,0.3126,0.6039,0.6977,0.1191,0.4771,0.5145,0.1717,0.4629,0.3088,0.6801,0.5418,-0.10499999999999954
153.83,148.97686767578125,157.4,155.0,155.85,152.99,152.59,150.47,148.5,150.59,152.87,151.6,0.5418,0.7848,0.6039,0.6977,0.1191,0.4771,0.5145,0.1717,0.4629,0.3088,0.6801,-0.10499999999999954
151.6,150.62266540527344,159.28,157.4,155.0,155.85,152.99,152.59,150.47,148.5,150.59,152.87,0.6801,0.5392,0.7848,0.6039,0.6977,0.1191,0.4771,0.5145,0.1717,0.4629,0.3088,-0.10499999999999954
152.87,151.73329162597656,157.83,159.28,157.4,155.0,155.85,152.99,152.59,150.47,148.5,150.59,0.3088,0.4902,0.5392,0.7848,0.6039,0.6977,0.1191,0.4771,0.5145,0.1717,0.4629,-0.10499999999999954
150.59,152.3858642578125,158.93,157.83,159.28,157.4,155.0,155.85,152.99,152.59,150.47,148.5,0.4629,0.417,0.4902,0.5392,0.7848,0.6039,0.6977,0.1191,0.4771,0.5145,0.1717,-0.10499999999999954
148.5,152.2947998046875,160.25,158.93,157.83,159.28,157.4,155.0,155.85,152.99,152.59,150.47,0.1717,0.6915,0.417,0.4902,0.5392,0.7848,0.6039,0.6977,0.1191,0.4771,0.5145,-0.10499999999999954
150.47,152.6552276611328,158.28,160.25,158.93,157.83,159.28,157.4,155.0,155.85,152.99,152.59,0.5145,0.6962,0.6915,0.417,0.4902,0.5392,0.7848,0.6039,0.6977,0.1191,0.4771,-0.10499999999999954
152.59,153.37371826171875,157.65,158.28,160.25,158.93,157.83,159.28,157.4,155.0,155.85,152.99,0.4771,0.5573,0.6962,0.6915,0.417,0.4902,0.5392,0.7848,0.6039,0.6977,0.1191,-0.10499999999999954
152.99,153.41612243652344,160.77,157.65,158.28,160.25,158.93,157.83,159.28,157.4,155.0,155.85,0.1191,0.5034,0.5573,0.6962,0.6915,0.417,0.4902,0.5392,0.7848,0.6039,0.6977,-0.10499999999999954
155.85,154.53076171875,162.36,160.77,157.65,158.28,160.25,158.93,157.83,159.28,157.4,155.0,0.6977,0.4728,0.5034,0.5573,0.6962,0.6915,0.417,0.4902,0.5392,0.7848,0.6039,-0.10499999999999954
155.0,155.77627563476562,164.9,162.36,160.77,157.65,158.28,160.25,158.93,157.83,159.28,157.4,0.6039,0.5921,0.4728,0.5034,0.5573,0.6962,0.6915,0.417,0.4902,0.5392,0.7848,-0.3569999999999993
157.4,157.05015563964844,166.17,164.9,162.36,160.77,157.65,158.28,160.25,158.93,157.83,159.28,0.7848,0.3954,0.5921,0.4728,0.5034,0.5573,0.6962,0.6915,0.417,0.4902,0.5392,-0.3569999999999993
159.28,157.8221435546875,165.63,166.17,164.9,162.36,160.77,157.65,158.28,160.25,158.93,157.83,0.5392,0.5688,0.3954,0.5921,0.4728,0.5034,0.5573,0.6962,0.6915,0.417,0.4902,-0.3569999999999993
157.83,158.59686279296875,163.76,165.63,166.17,164.9,162.36,160.77,157.65,158.28,160.25,158.93,0.4902,0.4039,0.5688,0.3954,0.5921,0.4728,0.5034,0.5573,0.6962,0.6915,0.417,-0.3569999999999993
158.93,159.0928955078125,164.66,163.76,165.63,166.17,164.9,162.36,160.77,157.65,158.28,160.25,0.417,0.6429,0.4039,0.5688,0.3954,0.5921,0.4728,0.5034,0.5573,0.6962,0.6915,-0.3569999999999993
160.25,160.26522827148438,162.03,164.66,163.76,165.63,166.17,164.9,162.36,160.77,157.65,158.28,0.6915,0.3277,0.6429,0.4039,0.5688,0.3954,0.5921,0.4728,0.5034,0.5573,0.6962,-0.3569999999999993
158.28,160.7261505126953,160.8,162.03,164.66,163.76,165.63,166.17,164.9,162.36,160.77,157.65,0.6962,0.4939,0.3277,0.6429,0.4039,0.5688,0.3954,0.5921,0.4728,0.5034,0.5573,-0.3569999999999993
157.65,160.74998474121094,160.1,160.8,162.03,164.66,163.76,165.63,166.17,164.9,162.36,160.77,0.5573,0.2945,0.4939,0.3277,0.6429,0.4039,0.5688,0.3954,0.5921,0.4728,0.5034,-0.3569999999999993
160.77,161.57640075683594,165.56,160.1,160.8,162.03,164.66,163.76,165.63,166.17,164.9,162.36,0.5034,0.4977,0.2945,0.4939,0.3277,0.6429,0.4039,0.5688,0.3954,0.5921,0.4728,-0.3569999999999993
162.36,161.8758087158203,165.21,165.56,160.1,160.8,162.03,164.66,163.76,165.63,166.17,164.9,0.4728,0.5335,0.4977,0.2945,0.4939,0.3277,0.6429,0.4039,0.5688,0.3954,0.5921,-0.3569999999999993
164.9,162.912353515625,165.23,165.21,165.56,160.1,160.8,162.03,164.66,163.76,165.63,166.17,0.5921,0.6022,0.5335,0.4977,0.2945,0.4939,0.3277,0.6429,0.4039,0.5688,0.3954,-0.3569999999999993
166.17,163.61624145507812,166.47,165.23,165.21,165.56,160.1,160.8,162.03,164.66,163.76,165.63,0.3954,0.4532,0.6022,0.5335,0.4977,0.2945,0.4939,0.3277,0.6429,0.4039,0.5688,-0.2519999999999998
165.63,164.85360717773438,167.63,166.47,165.23,165.21,165.56,160.1,160.8,162.03,164.66,163.76,0.5688,0.6664,0.4532,0.6022,0.5335,0.4977,0.2945,0.4939,0.3277,0.6429,0.4039,-0.2519999999999998
163.76,165.39004516601562,166.65,167.63,166.47,165.23,165.21,165.56,160.1,160.8,162.03,164.66,0.4039,0.6627,0.6664,0.4532,0.6022,0.5335,0.4977,0.2945,0.4939,0.3277,0.6429,-0.2519999999999998
164.66,166.089599609375,165.02,166.65,167.63,166.47,165.23,165.21,165.56,160.1,160.8,162.03,0.6429,0.6638,0.6627,0.6664,0.4532,0.6022,0.5335,0.4977,0.2945,0.4939,0.3277,-0.2519999999999998
162.03,165.2920684814453,165.33,165.02,166.65,167.63,166.47,165.23,165.21,165.56,160.1,160.8,0.3277,0.6183,0.6638,0.6627,0.6664,0.4532,0.6022,0.5335,0.4977,0.2945,0.4939,-0.2519999999999998
160.8,164.2087860107422,163.77,165.33,165.02,166.65,167.63,166.47,165.23,165.21,165.56,160.1,0.4939,0.5762,0.6183,0.6638,0.6627,0.6664,0.4532,0.6022,0.5335,0.4977,0.2945,-0.2519999999999998
